Row Labels,2DHR,2order1cfix,hr_nocfix,hr_noefix
50,0.038520012,0.05654267,0.04071748,0.03949566
100,0.025735911,0.044188621,0.025309353,0.025925536
200,0.017989717,0.032023928,0.019479888,0.018424624
300,0.014130457,0.026028659,0.014884932,0.014421723
500,0.010609823,0.020009058,0.011618333,0.010997254
700,0.009174708,0.0131194,0.010088241,0.008731922
